1 1:-59.928658 2:2 3:0  4:0.054953 5:2.364324 6:0.049999 7:2.000000 
1 1:-58.818497 2:8 3:0  4:0.319567 5:2.404077 6:0.045864 7:8.000000 
1 1:-62.952072 2:11 3:0  4:0.414493 5:2.847645 6:0.051304 7:11.000000 
1 1:-54.488419 2:3 3:0  4:0.087960 5:2.694126 6:0.054192 7:3.000000 
1 1:-78.921814 2:6 3:0  4:0.303399 5:2.660046 6:0.188626 7:6.000000 
1 1:-46.466087 2:3 3:1  4:0.161498 5:2.150127 6:0.043961 7:3.000000 
1 1:-49.420822 2:5 3:0  4:0.229818 5:2.990402 6:0.058704 7:5.000000 
1 1:-60.231079 2:3 3:1  4:0.339068 5:2.618242 6:0.051296 7:10.000000 
1 1:-56.070732 2:7 3:1  4:0.305990 5:3.127362 6:0.055665 7:8.000000 
1 1:-71.322205 2:4 3:0  4:0.219624 5:3.151767 6:0.110953 7:4.000000 
1 1:-71.278511 2:5 3:0  4:0.341480 5:2.704074 6:0.107841 7:5.000000 
1 1:-56.497269 2:5 3:0  4:0.391736 5:2.679338 6:0.053698 7:5.000000 
1 1:-71.097824 2:5 3:0  4:0.175790 5:2.470152 6:0.106224 7:5.000000 
1 1:-40.546524 2:7 3:0  4:0.263671 5:2.669819 6:0.049335 7:7.000000 
1 1:-69.259979 2:11 3:0  4:0.439930 5:2.458416 6:0.069154 7:11.000000 
1 1:-45.415352 2:3 3:0  4:0.085810 5:2.641782 6:0.052241 7:3.000000 
1 1:-39.165592 2:3 3:0  4:0.175447 5:2.514023 6:0.052421 7:3.000000 
1 1:-32.186398 2:9 3:0  4:0.351360 5:2.758087 6:0.049384 7:9.000000 
1 1:-51.543411 2:3 3:0  4:0.086831 5:2.584386 6:0.051985 7:3.000000 
1 1:-62.203407 2:2 3:0  4:0.051938 5:2.722126 6:0.050120 7:2.000000 
1 1:-75.007843 2:6 3:0  4:0.350263 5:2.835519 6:0.136386 7:6.000000 
1 1:-31.501644 2:2 3:0  4:0.060763 5:3.368870 6:0.053320 7:2.000000 
1 1:-77.823524 2:7 3:0  4:0.399510 5:2.447628 6:0.183444 7:7.000000 
1 1:-69.930191 2:6 3:0  4:0.268001 5:2.662097 6:0.080947 7:6.000000 
1 1:-77.704781 2:5 3:0  4:0.228906 5:2.626957 6:0.183085 7:5.000000 
1 1:-72.545486 2:8 3:0  4:0.348371 5:3.012094 6:0.109777 7:8.000000 
1 1:-55.340454 2:10 3:0  4:0.322339 5:2.897284 6:0.051146 7:10.000000 
1 1:-61.758598 2:7 3:0  4:0.207931 5:3.104316 6:0.051854 7:7.000000 
1 1:-54.064018 2:1 3:0  4:0.025880 5:2.783486 6:0.049718 7:1.000000 
1 1:-56.256721 2:4 3:1  4:0.162970 5:2.669654 6:0.052581 7:4.000000 
1 1:-67.386246 2:6 3:0  4:0.220687 5:2.441627 6:0.068235 7:6.000000 
1 1:-45.971016 2:9 3:0  4:0.318689 5:2.592880 6:0.051592 7:9.000000 
1 1:-43.608185 2:6 3:0  4:0.181298 5:3.010244 6:0.057044 7:6.000000 
1 1:-55.785721 2:6 3:0  4:0.303399 5:2.854558 6:0.050437 7:6.000000 
1 1:-65.280540 2:10 3:0  4:0.421691 5:3.144789 6:0.063165 7:10.000000 
1 1:-65.809868 2:7 3:0  4:0.252759 5:2.293682 6:0.060594 7:7.000000 
1 1:-23.730751 2:5 3:0  4:0.173755 5:2.511871 6:0.047291 7:5.000000 
1 1:-71.323288 2:8 3:0  4:0.348806 5:2.711550 6:0.104517 7:8.000000 
1 1:-75.606331 2:7 3:0  4:0.264825 5:2.441064 6:0.124384 7:7.000000 
1 1:-50.065948 2:5 3:0  4:0.154405 5:2.719456 6:0.056891 7:5.000000 
1 1:-53.794983 2:8 3:0  4:0.305118 5:2.987585 6:0.054057 7:8.000000 
1 1:-71.648598 2:10 3:0  4:0.465726 5:3.064591 6:0.109868 7:10.000000 
1 1:-72.334274 2:4 3:0  4:0.150511 5:2.671213 6:0.101568 7:4.000000 
1 1:-75.999573 2:3 3:1  4:0.161498 5:2.561281 6:0.135473 7:3.000000 
1 1:-50.293236 2:6 3:0  4:0.350263 5:3.429839 6:0.056588 7:6.000000 
1 1:-49.150780 2:5 3:0  4:0.330696 5:2.899557 6:0.055647 7:5.000000 
1 1:-45.580116 2:9 3:0  4:0.417266 5:2.535230 6:0.048548 7:9.000000 
1 1:-59.563103 2:7 3:0  4:0.240604 5:2.562511 6:0.050926 7:7.000000 
1 1:-40.271610 2:8 3:0  4:0.330398 5:2.588158 6:0.053264 7:8.000000 
1 1:-32.462173 2:6 3:0  4:0.363881 5:2.174273 6:0.048310 7:6.000000 
1 1:-41.802868 2:5 3:0  4:0.357304 5:2.534991 6:0.052034 7:5.000000 
1 1:-70.094269 2:7 3:1  4:0.399583 5:2.456131 6:0.110146 7:11.000000 
1 1:-68.542709 2:6 3:0  4:0.234997 5:3.175881 6:0.080417 7:6.000000 
1 1:-74.076889 2:6 3:0  4:0.327734 5:2.029920 6:0.122976 7:6.000000 
1 1:-68.729172 2:2 3:1  4:0.363546 5:2.036331 6:0.070363 7:11.000000 
1 1:-69.704750 2:8 3:0  4:0.258722 5:2.711167 6:0.077277 7:8.000000 
1 1:-76.841629 2:6 3:0  4:0.283847 5:2.804740 6:0.134485 7:6.000000 
1 1:-73.905434 2:8 3:0  4:0.257930 5:2.559933 6:0.106448 7:8.000000 
1 1:-46.911049 2:8 3:1  4:0.356853 5:2.325580 6:0.049448 7:10.000000 
1 1:-53.012962 2:6 3:0  4:0.372087 5:2.729139 6:0.052641 7:6.000000 
1 1:-67.873688 2:4 3:0  4:0.157809 5:3.134543 6:0.082002 7:4.000000 
1 1:-61.578331 2:6 3:0  4:0.237954 5:2.753153 6:0.053900 7:6.000000 
1 1:-64.271873 2:9 3:0  4:0.318067 5:2.731283 6:0.056209 7:9.000000 
1 1:-46.082947 2:8 3:0  4:0.409109 5:2.720567 6:0.052798 7:8.000000 
1 1:-66.052803 2:6 3:1  4:0.383096 5:2.617630 6:0.069205 7:8.000000 
1 1:-66.601196 2:10 3:0  4:0.428607 5:2.698427 6:0.077598 7:10.000000 
1 1:-57.221642 2:9 3:0  4:0.315228 5:3.433460 6:0.053403 7:9.000000 
1 1:-70.319366 2:10 3:1  4:0.444847 5:3.013622 6:0.110873 7:11.000000 
1 1:-68.809242 2:8 3:0  4:0.366514 5:2.561738 6:0.076414 7:8.000000 
1 1:-71.045021 2:11 3:0  4:0.488627 5:3.403003 6:0.107347 7:11.000000 
1 1:-54.062302 2:8 3:0  4:0.312153 5:2.466642 6:0.050649 7:8.000000 
1 1:-57.413925 2:12 3:0  4:0.411690 5:2.558483 6:0.050091 7:12.000000 
1 1:-68.107864 2:14 3:0  4:0.451776 5:2.801085 6:0.074067 7:14.000000 
1 1:-66.397217 2:8 3:0  4:0.299457 5:2.772975 6:0.076739 7:8.000000 
1 1:-58.159073 2:5 3:0  4:0.171994 5:2.597171 6:0.050788 7:5.000000 
1 1:-45.642838 2:5 3:1  4:0.222472 5:2.341701 6:0.053062 7:7.000000 
1 1:-39.855953 2:5 3:0  4:0.157845 5:2.900644 6:0.055434 7:5.000000 
1 1:-37.100342 2:1 3:0  4:0.027680 5:3.341135 6:0.055359 7:1.000000 
1 1:-62.444557 2:5 3:0  4:0.176810 5:2.861962 6:0.050253 7:5.000000 
1 1:-64.521393 2:10 3:0  4:0.421691 5:2.708650 6:0.052684 7:10.000000 
1 1:-58.105408 2:4 3:0  4:0.117212 5:2.517522 6:0.048795 7:4.000000 
1 1:-67.166229 2:1 3:0  4:0.042986 5:3.220657 6:0.083135 7:1.000000 
