1 1:-59.240746 2:4 3:0  4:0.218115 5:7.206302 6:0.138761 7:4.000000
1 1:-57.339348 2:4 3:0  4:0.218115 5:3.320257 6:0.052891 7:4.000000
1 1:-38.246555 2:4 3:0  4:0.208403 5:7.157858 6:0.137663 7:4.000000
1 1:-64.754562 2:4 3:0  4:0.208403 5:2.391311 6:0.049139 7:4.000000
1 1:-53.807831 2:4 3:0  4:0.208403 5:2.661319 6:0.053248 7:4.000000
1 1:-39.434132 2:4 3:0  4:0.218115 5:7.748272 6:0.140120 7:4.000000
1 1:-47.052345 2:4 3:0  4:0.208403 5:7.802882 6:0.132233 7:4.000000
1 1:-47.100487 2:4 3:0  4:0.218115 5:3.254762 6:0.054057 7:4.000000
1 1:-46.999725 2:4 3:1  4:0.311667 5:7.134152 6:0.140153 7:6.000000
1 1:-41.422798 2:2 3:1  4:0.316203 5:7.214736 6:0.135573 7:6.000000
1 1:-56.559654 2:4 3:1  4:0.311667 5:3.245346 6:0.056284 7:6.000000
1 1:-63.397949 2:4 3:1  4:0.311667 5:6.062676 6:0.128511 7:6.000000
1 1:-39.623688 2:2 3:1  4:0.316203 5:2.766150 6:0.045923 7:6.000000
1 1:-50.663559 2:4 3:1  4:0.311667 5:2.592300 6:0.049807 7:6.000000
1 1:-62.473099 2:3 3:0  4:0.182053 5:7.110300 6:0.135352 7:3.000000
1 1:-57.160606 2:6 3:0  4:0.255826 5:3.418210 6:0.049721 7:6.000000
1 1:-57.923721 2:6 3:0  4:0.255826 5:3.088210 6:0.054201 7:6.000000
1 1:-38.004276 2:6 3:0  4:0.255826 5:6.655543 6:0.138642 7:6.000000
1 1:-55.769623 2:2 3:0  4:0.112400 5:7.389225 6:0.139162 7:2.000000
1 1:-57.387383 2:6 3:0  4:0.255826 5:3.439267 6:0.049679 7:6.000000
1 1:-42.811020 2:6 3:0  4:0.255826 5:3.039738 6:0.050134 7:6.000000
1 1:-49.818893 2:3 3:0  4:0.182053 5:7.313990 6:0.131759 7:3.000000
1 1:-28.936062 2:3 3:0  4:0.182053 5:3.095500 6:0.047986 7:3.000000
1 1:-31.130352 2:2 3:0  4:0.112400 5:3.542915 6:0.053113 7:2.000000
1 1:-45.319405 2:6 3:0  4:0.255826 5:3.694019 6:0.056455 7:6.000000
1 1:-60.014153 2:7 3:0  4:0.418654 5:3.062433 6:0.048902 7:7.000000
1 1:-62.983139 2:7 3:0  4:0.372090 5:2.782726 6:0.047824 7:7.000000
1 1:-65.980644 2:7 3:0  4:0.418654 5:2.738541 6:0.056433 7:7.000000
1 1:-38.259819 2:7 3:0  4:0.372090 5:7.006592 6:0.134443 7:7.000000
1 1:-54.849365 2:7 3:0  4:0.372090 5:3.382403 6:0.051920 7:7.000000
1 1:-45.607925 2:7 3:0  4:0.407113 5:3.022544 6:0.052357 7:7.000000
1 1:-51.751045 2:7 3:0  4:0.407113 5:6.852650 6:0.134260 7:7.000000
1 1:-44.664482 2:7 3:0  4:0.407113 5:2.688879 6:0.050446 7:7.000000
1 1:-71.783867 2:7 3:0  4:0.418654 5:2.801363 6:0.097682 7:7.000000
1 1:-47.429100 2:7 3:0  4:0.372090 5:2.916100 6:0.046002 7:7.000000
1 1:-51.515961 2:7 3:0  4:0.407113 5:6.071788 6:0.130767 7:7.000000
1 1:-66.207115 2:7 3:0  4:0.418654 5:2.839937 6:0.071557 7:7.000000
1 1:-37.048679 2:7 3:0  4:0.372090 5:7.094254 6:0.139557 7:7.000000
1 1:-36.795361 2:7 3:0  4:0.418654 5:7.568583 6:0.138398 7:7.000000
1 1:-58.216896 2:7 3:0  4:0.407113 5:7.567686 6:0.130147 7:7.000000
1 1:-54.655365 2:7 3:0  4:0.407113 5:3.385567 6:0.053469 7:7.000000
1 1:-43.570229 2:7 3:0  4:0.372090 5:7.025571 6:0.136854 7:7.000000
1 1:-54.355125 2:7 3:0  4:0.418654 5:3.077343 6:0.048277 7:7.000000
1 1:-69.185791 2:7 3:0  4:0.418654 5:8.114043 6:0.201830 7:7.000000
1 1:-39.360065 2:1 3:0  4:0.068183 5:6.686337 6:0.137241 7:1.000000
1 1:-35.417381 2:7 3:0  4:0.372090 5:3.612619 6:0.057532 7:7.000000
1 1:-32.582920 2:7 3:0  4:0.407113 5:7.307969 6:0.135109 7:7.000000
1 1:-45.812737 2:5 3:0  4:0.368650 5:7.018074 6:0.136515 7:5.000000
1 1:-63.276352 2:6 3:0  4:0.485227 5:7.403901 6:0.140105 7:6.000000
1 1:-52.573257 2:5 3:0  4:0.368650 5:3.408206 6:0.051571 7:5.000000
